name,rating,categories,address,zip_code,embedding_text
My Friend Derek’s,4.8,Restaurant,"2108 N 55th St, Seattle",98105,"My Friend Derek’s. Category: Restaurant. Known for Restaurant dishes. Located at 2108 N 55th St, Seattle. Rated 4.8 stars. A popular spot for people craving Restaurant or similar foods."
Pi Vegan Pizzeria,4.7,Restaurant,"5301 Roosevelt Way NE, Seattle",98105,"Pi Vegan Pizzeria. Category: Restaurant. Known for Restaurant dishes. Located at 5301 Roosevelt Way NE, Seattle. Rated 4.7 stars. A popular spot for people craving Restaurant or similar foods."
The Independent Pizzeria,4.7,Restaurant,"4235 E Madison St, Seattle",98105,"The Independent Pizzeria. Category: Restaurant. Known for Restaurant dishes. Located at 4235 E Madison St, Seattle. Rated 4.7 stars. A popular spot for people craving Restaurant or similar foods."
Olympic Pizza and Pasta,4.6,Restaurant,"6413 Roosevelt Way NE, Seattle",98105,"Olympic Pizza and Pasta. Category: Restaurant. Known for Restaurant dishes. Located at 6413 Roosevelt Way NE, Seattle. Rated 4.6 stars. A popular spot for people craving Restaurant or similar foods."
Johnny Mo's Pizzeria,4.6,Restaurant,"3272 Fuhrman Ave E Suite 100, Seattle",98105,"Johnny Mo's Pizzeria. Category: Restaurant. Known for Restaurant dishes. Located at 3272 Fuhrman Ave E Suite 100, Seattle. Rated 4.6 stars. A popular spot for people craving Restaurant or similar foods."
Varlamos Pizzeria,4.6,"Night Club, Bar, Meal Delivery","3617 NE 45th St, Seattle",98105,"Varlamos Pizzeria. Category: Night Club, Bar, Meal Delivery. Known for Night Club, Bar, Meal Delivery dishes. Located at 3617 NE 45th St, Seattle. Rated 4.6 stars. A popular spot for people craving Night Club, Bar, Meal Delivery or similar foods."
Pagliacci Pizza,4.5,"Meal Delivery, Meal Takeaway","2400 10th Ave E, Seattle",98105,"Pagliacci Pizza. Category: Meal Delivery, Meal Takeaway. Known for Meal Delivery, Meal Takeaway dishes. Located at 2400 10th Ave E, Seattle. Rated 4.5 stars. A popular spot for people craving Meal Delivery, Meal Takeaway or similar foods."
Taste of Xi'an 西安味道,4.5,Meal Delivery,"4523 University Wy NE, Seattle",98105,"Taste of Xi'an 西安味道. Category: Meal Delivery. Known for Meal Delivery dishes. Located at 4523 University Wy NE, Seattle. Rated 4.5 stars. A popular spot for people craving Meal Delivery or similar foods."
Ridge Pizza NE,4.4,Restaurant,"3338 NE 65th St, Seattle",98105,"Ridge Pizza NE. Category: Restaurant. Known for Restaurant dishes. Located at 3338 NE 65th St, Seattle. Rated 4.4 stars. A popular spot for people craving Restaurant or similar foods."
Veraci Pizza Wedgwood,4.4,Meal Takeaway,"7320 35th Ave NE, Seattle",98105,"Veraci Pizza Wedgwood. Category: Meal Takeaway. Known for Meal Takeaway dishes. Located at 7320 35th Ave NE, Seattle. Rated 4.4 stars. A popular spot for people craving Meal Takeaway or similar foods."
Modena Pizza & Pasta,4.4,"Meal Takeaway, Store","8014 Lake City Way NE, Seattle",98105,"Modena Pizza & Pasta. Category: Meal Takeaway, Store. Known for Meal Takeaway, Store dishes. Located at 8014 Lake City Way NE, Seattle. Rated 4.4 stars. A popular spot for people craving Meal Takeaway, Store or similar foods."
Itadakimasu,4.3,Bar,"4743 Brooklyn Ave NE, Seattle",98105,"Itadakimasu. Category: Bar. Known for Bar dishes. Located at 4743 Brooklyn Ave NE, Seattle. Rated 4.3 stars. A popular spot for people craving Bar or similar foods."
Delfino's Chicago Style Pizza,4.3,Restaurant,"2631 NE University Village St, Seattle",98105,"Delfino's Chicago Style Pizza. Category: Restaurant. Known for Restaurant dishes. Located at 2631 NE University Village St, Seattle. Rated 4.3 stars. A popular spot for people craving Restaurant or similar foods."
Chi Mac - Seattle,4.2,Bar,"4525 University Wy NE, Seattle",98105,"Chi Mac - Seattle. Category: Bar. Known for Bar dishes. Located at 4525 University Wy NE, Seattle. Rated 4.2 stars. A popular spot for people craving Bar or similar foods."
Pudge Bros Pizza,4.2,Restaurant,"269 NE 45th St, Seattle",98105,"Pudge Bros Pizza. Category: Restaurant. Known for Restaurant dishes. Located at 269 NE 45th St, Seattle. Rated 4.2 stars. A popular spot for people craving Restaurant or similar foods."
Supreme,4.1,Bar,"4529 University Wy NE, Seattle",98105,"Supreme. Category: Bar. Known for Bar dishes. Located at 4529 University Wy NE, Seattle. Rated 4.1 stars. A popular spot for people craving Bar or similar foods."
Piatti,4.1,Restaurant,"2695 NE Village Ln, Seattle",98105,"Piatti. Category: Restaurant. Known for Restaurant dishes. Located at 2695 NE Village Ln, Seattle. Rated 4.1 stars. A popular spot for people craving Restaurant or similar foods."
Zeeks Pizza,4.1,"Bar, Meal Delivery, Meal Takeaway","2108 NE 65th St, Seattle",98105,"Zeeks Pizza. Category: Bar, Meal Delivery, Meal Takeaway. Known for Bar, Meal Delivery, Meal Takeaway dishes. Located at 2108 NE 65th St, Seattle. Rated 4.1 stars. A popular spot for people craving Bar, Meal Delivery, Meal Takeaway or similar foods."
Elemental Pizza,4.0,Restaurant,"2634 NE University Village St, Seattle",98105,"Elemental Pizza. Category: Restaurant. Known for Restaurant dishes. Located at 2634 NE University Village St, Seattle. Rated 4 stars. A popular spot for people craving Restaurant or similar foods."
A-Pizza Mart Bar & Grill,4.0,"Meal Delivery, Meal Takeaway","5240 University Wy NE ste d, Seattle",98105,"A-Pizza Mart Bar & Grill. Category: Meal Delivery, Meal Takeaway. Known for Meal Delivery, Meal Takeaway dishes. Located at 5240 University Wy NE ste d, Seattle. Rated 4 stars. A popular spot for people craving Meal Delivery, Meal Takeaway or similar foods."
